Mean,Median,Mode,Max,Min,Std,Skewness,Kurtosis,Q1,Q3,IQR,ZCR_mean,ZCR_median,ZCR_std,ZCR_skewness,ZCR_kurtosis,RMSE_mean,RMSE_median,RMSE_std,RMSE_skewness,RMSE_kurtosis,Label
6.90E-06,-0.000415336,-0.003448247,0.272396982,-0.289860606,0.046010874,0.001766054,6.114190178,-0.009659025,0.011471749,0.021130774,0.109251108,0.070800781,0.104179173,1.918744305,3.248913624,0.033688266,0.027020309,0.031286597,1.08191379,0.317972949,Orang1_angry
-4.08E-05,-8.50E-05,-0.116221234,0.279550999,-0.315497071,0.056243364,0.031880159,3.440535095,-0.015395675,0.016138771,0.031534446,0.08168739,0.05078125,0.104726277,2.889467533,7.463040884,0.043114137,0.034835599,0.035689741,0.548891183,-0.921604445,Orang1_angry
-0.000105015,5.46E-05,0.007633654,0.252151608,-0.211177856,0.043151952,0.207447045,5.084948752,-0.011316721,0.011926187,0.023242909,0.094276428,0.064697266,0.092482031,2.304425251,4.998872314,0.03298451,0.028315626,0.027733039,0.895755991,0.000773969,Orang1_angry
1.94E-06,0.000176095,-0.050609678,0.254371315,-0.317299306,0.050682127,-0.352651866,4.651240743,-0.015240995,0.017649975,0.03289097,0.089963942,0.060058594,0.093130718,2.787085409,6.928646032,0.040295862,0.032537106,0.03056385,0.8910486,0.068697432,Orang1_angry
-1.17E-05,0.001171448,-0.058866233,0.274883986,-0.249889165,0.043258872,-0.203306198,3.77937526,-0.015413047,0.015848227,0.031261274,0.085428292,0.053466797,0.106455437,2.72721026,6.336718222,0.035185199,0.033601046,0.025098961,0.628750172,-0.440168116,Orang1_angry
2.09E-05,0.00024535,-0.097802535,0.209564283,-0.235379726,0.044248004,-0.134338404,3.012556885,-0.012514609,0.0152017,0.027716309,0.129654423,0.072753906,0.113414808,1.340095717,0.344781015,0.035851583,0.033013947,0.025609775,0.394679041,-0.864993257,Orang1_angry
4.80E-05,-0.000190551,-0.006675925,0.217470497,-0.215641841,0.031639542,-0.024447698,5.429691792,-0.007909665,0.009729082,0.017638747,0.088924632,0.057861328,0.076362637,1.795895443,2.57820192,0.024085099,0.019447275,0.020247117,0.98095543,0.375576581,Orang1_angry
0.000156452,0.000685445,-0.053754903,0.23845315,-0.225891963,0.041629478,0.068168398,5.438966793,-0.010342207,0.011392418,0.021734625,0.118252841,0.063720703,0.115183138,1.495332867,0.928318487,0.031931583,0.031073116,0.026668919,0.912714936,0.197878187,Orang1_angry
0.000231249,0.000905579,-0.074663699,0.236465901,-0.211501896,0.042952482,-0.093816793,3.950618079,-0.007491246,0.00942221,0.016913456,0.087546765,0.05859375,0.107588905,2.360050081,4.961135602,0.032285541,0.026926104,0.028257748,0.478967832,-1.171581657,Orang1_angry
3.00E-05,0.001082101,-0.004187356,0.156444073,-0.174065351,0.026476966,-0.263173296,4.358161888,-0.007364263,0.008941023,0.016305286,0.090841854,0.06640625,0.088929323,1.843063454,3.798540494,0.021383688,0.018598983,0.015552011,0.467140866,-0.783350788,Orang1_angry
9.19E-05,0.000530073,-0.050247151,0.200931549,-0.235045701,0.038199183,-0.192890699,4.923589328,-0.009475785,0.01108357,0.020559356,0.128121041,0.089599609,0.115813657,2.12229153,3.862425317,0.029421285,0.025116827,0.02396689,0.650542923,-0.612125869,Orang1_angry
-0.000117158,-0.000469564,-0.04893193,0.165925443,-0.168041199,0.026110061,0.102996975,5.923530019,-0.005681743,0.007567558,0.013249302,0.091267331,0.078613281,0.087151879,2.369570812,6.200352887,0.020098589,0.015703524,0.016632961,0.569626139,-0.92453417,Orang1_angry
-9.89E-05,-0.001071396,0.003427334,0.162628129,-0.170804814,0.028320167,0.050237107,4.549090177,-0.006990346,0.00900593,0.015996276,0.095967061,0.069824219,0.085510249,1.811975058,3.124760794,0.021958027,0.019417178,0.017585481,0.732095297,-0.220056894,Orang1_angry
5.56E-07,-0.00048514,-0.143336207,0.2089912,-0.193064019,0.032780647,-0.011106407,8.780547342,-0.006293735,0.008643432,0.014937167,0.086230469,0.064697266,0.079981576,1.956473379,3.873894301,0.023429176,0.019327644,0.022920897,1.690072474,2.915854689,Orang1_angry
0.000144798,-0.000275409,-0.07201533,0.180306584,-0.165485919,0.03368989,-0.149276216,2.649577006,-0.010055667,0.012699823,0.02275549,0.086963718,0.055664063,0.104516266,2.589194814,5.875872574,0.0275984,0.028399957,0.019024499,0.114306376,-1.215889877,Orang1_angry
-8.71E-05,0.000462634,-0.087033182,0.18772094,-0.207481369,0.036514319,-0.08045819,4.306623194,-0.009510696,0.010473783,0.019984479,0.072068855,0.052734375,0.079504605,2.475624295,5.602730888,0.028354723,0.023382813,0.0228258,0.503809023,-1.011291466,Orang1_angry
7.89E-07,0.000550316,-0.072556406,0.297823071,-0.260527581,0.042673953,0.00554209,3.759992334,-0.012923505,0.014179494,0.027102999,0.085783658,0.062011719,0.092165047,2.821870587,8.221133386,0.034755673,0.028548988,0.024330761,0.171160903,-1.404491555,Orang1_angry
3.40E-05,2.18E-05,-0.0152105,0.256219536,-0.27253902,0.046816278,0.046880314,3.315286656,-0.017424937,0.017688851,0.035113788,0.097549438,0.066162109,0.0836446,1.902940925,2.805223958,0.038806178,0.03640613,0.025800014,0.418653525,-0.869329542,Orang1_angry
8.38E-05,0.001007131,-0.118634418,0.320788532,-0.376864105,0.052732747,-0.249504157,8.317710258,-0.011934083,0.011939079,0.023873162,0.123691135,0.074707031,0.124931604,1.848065225,2.343797764,0.037415903,0.032086022,0.036649793,1.479876657,2.063479641,Orang1_angry
8.69E-05,0.000705921,-0.235483736,0.238051355,-0.235483736,0.039771799,0.035583111,5.49990272,-0.009441157,0.009214403,0.01865556,0.102967145,0.057128906,0.108457986,1.948284502,3.30759066,0.028721441,0.021726519,0.027277876,1.079706029,0.217117577,Orang1_angry
3.80E-05,0.000590125,0.018606197,0.20986262,-0.224438101,0.046157505,-0.124447154,3.777122789,-0.007382618,0.009618844,0.017001462,0.090779622,0.051269531,0.111307176,2.332101653,4.808554151,0.033111885,0.022825986,0.031749193,0.686566861,-1.010574325,Orang1_angry
-6.32E-05,-0.000280678,-0.00070938,0.289218158,-0.300610363,0.054471441,-0.215279301,4.503815525,-0.011263426,0.014321744,0.02558517,0.119477608,0.071289063,0.133513102,2.010468987,3.257059122,0.041274354,0.034288149,0.035485696,0.468746328,-1.131539988,Orang1_angry
-9.27E-05,-0.000194498,-0.030839812,0.192331254,-0.220013052,0.034876361,-0.093719023,4.259845327,-0.008052932,0.009586021,0.017638953,0.087422139,0.072265625,0.071301826,2.323220037,6.161251614,0.02665331,0.026784364,0.022137901,0.509425365,-0.926358709,Orang1_angry
-7.45E-05,-0.000150823,-0.022165639,0.180625051,-0.225315869,0.037435651,-0.074909421,2.296176618,-0.014508434,0.0159362,0.030444634,0.087632921,0.057617188,0.09875484,2.719128833,6.797438054,0.031719923,0.03221057,0.01958131,0.096307473,-1.038392562,Orang1_angry
0.000123699,0.001083326,-0.022073122,0.210503757,-0.220181882,0.035073113,-0.208056298,5.332637486,-0.008464707,0.01063869,0.019103396,0.135665458,0.071044922,0.13250357,1.415979726,0.946559116,0.026516376,0.023766559,0.022929495,0.887208703,0.043248673,Orang1_angry
1.00E-05,0.000353092,-0.034685478,0.157496318,-0.191291049,0.030879596,-0.251435395,3.881379708,-0.010250911,0.011817853,0.022068764,0.106949095,0.078613281,0.094167194,1.81417669,2.414703107,0.02563574,0.026753629,0.016926315,0.291890551,-0.936363624,Orang1_angry
0.000164887,0.001132211,-0.07527262,0.326408476,-0.335426092,0.056020208,-0.080368215,5.425901285,-0.012256788,0.013069154,0.025325941,0.085164995,0.057128906,0.096892204,2.56960988,6.195356415,0.041589528,0.037191171,0.037080009,0.910006688,0.296336912,Orang1_angry
4.80E-05,-1.93E-05,-0.063141331,0.304700226,-0.264234751,0.063000754,0.103785676,2.693073206,-0.018808912,0.020429385,0.039238297,0.082939996,0.045410156,0.1217947,2.830226711,7.163873605,0.049989767,0.048894748,0.038142659,0.502637863,-0.628083454,Orang1_angry
-6.88E-05,-8.84E-05,-0.030744268,0.141900048,-0.132038668,0.028639711,0.011680618,3.298572607,-0.008546107,0.009451896,0.017998003,0.087154328,0.057617188,0.101916204,2.41606059,4.921245926,0.022971056,0.022312623,0.017005594,0.420911259,-0.938301395,Orang1_angry
4.26E-05,0.000514832,0.004189977,0.280979663,-0.212099135,0.041089784,0.384927742,6.809769527,-0.010856022,0.011091737,0.021947759,0.084050959,0.062011719,0.079155153,2.557573262,6.49925259,0.030866593,0.023699418,0.026782148,1.105949983,0.635922714,Orang1_angry
